BveTs Structure List 2.00
DikeGrs5m2L2,..\GeneralStr\ACCC\Ground\DikeGrs5m2L2.x
kasen35S,..\GeneralStr\Accessory\E_Poles\kasen\kasen35S.x
kasen40,..\GeneralStr\Accessory\E_Poles\kasen\kasen40.x
kasen40S,..\GeneralStr\Accessory\E_Poles\kasen\kasen40S.x
kasen45,..\GeneralStr\Accessory\E_Poles\kasen\kasen45.x
kasen45S,..\GeneralStr\Accessory\E_Poles\kasen\kasen45S.x
kasen50,..\GeneralStr\Accessory\E_Poles\kasen\kasen50.x
Pole1_stlA,..\GeneralStr\Accessory\E_Poles\Pole\Pole1_stlA.x
Pole1_stlA_K,..\GeneralStr\Accessory\E_Poles\Pole\Pole1_stlA_K.x
Pole1_stlB,..\GeneralStr\Accessory\E_Poles\Pole\Pole1_stlB.x
Pole1_stlB_K,..\GeneralStr\Accessory\E_Poles\Pole\Pole1_stlB_K.x
Pole1AC_A,..\GeneralStr\Accessory\E_Poles\Pole\Pole1AC_A.x
Pole1AC_AS,..\GeneralStr\Accessory\E_Poles\Pole\Pole1AC_AS.x
Pole1AC_B,..\GeneralStr\Accessory\E_Poles\Pole\Pole1AC_B.x
Pole1AC_BS,..\GeneralStr\Accessory\E_Poles\Pole\Pole1AC_BS.x
Pole1_S,..\GeneralStr\Accessory\E_Poles\Pole\Pole1_S.x
PoleTrs05B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs05B_R.x
PoleTrs06A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs06A.x
PoleTrs06A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs06A_R.x
PoleTrs06B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs06B.x
PoleTrs06B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs06B_R.x
PoleTrs06N,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs06N.x
PoleTrs07A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs07A.x
PoleTrs07A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs07A_R.x
PoleTrs07B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs07B.x
PoleTrs07B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs07B_R.x
PoleTrs08A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs08A.x
PoleTrs08A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs08A_R.x
PoleTrs08B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs08B.x
PoleTrs08B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs08B_R.x
PoleTrs09A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs09A.x
PoleTrs09A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs09A_R.x
PoleTrs09B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs09B.x
PoleTrs09B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs09B_R.x
PoleTrs10A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs10A.x
PoleTrs10A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs10A_R.x
PoleTrs10B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs10B.x
PoleTrs10B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs10B_R.x
PoleTrs11A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs11A.x
PoleTrs11A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs11A_R.x
PoleTrs11B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs11B.x
PoleTrs11B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs11B_R.x
PoleTrs12A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs12A.x
PoleTrs12A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs12A_R.x
PoleTrs12B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs12B.x
PoleTrs12B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs12B_R.x
PoleTrs14A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs14A.x
PoleTrs14A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs14A_R.x
PoleTrs14B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs14B.x
PoleTrs14B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs14B_R.x
PoleTrs04A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs04A.x
PoleTrs04A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs04A_R.x
PoleTrs04B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs04B.x
PoleTrs04B_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs04B_R.x
PoleTrs05A,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs05A.x
PoleTrs05A_R,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs05A_R.x
PoleTrs05B,..\GeneralStr\Accessory\E_Poles\PoleTruss\PoleTrs05B.x
PoleFence01a,..\GeneralStr\Accessory\Fence\PoleFence01a.x
PoleFence01aE,..\GeneralStr\Accessory\Fence\PoleFence01aE.x
PoleFence02a,..\GeneralStr\Accessory\Fence\PoleFence02a.x
PoleFence02aE,..\GeneralStr\Accessory\Fence\PoleFence02aE.x
PoleFence02aS,..\GeneralStr\Accessory\Fence\PoleFence02aS.x
PoleFence02aS0,..\GeneralStr\Accessory\Fence\PoleFence02aS0.x
Fence,..\GeneralStr\Accessory\Fence\Fence.x
FenceGray,..\GeneralStr\Accessory\Fence\FenceGray.x
FenceGrayE,..\GeneralStr\Accessory\Fence\FenceGrayE.x
FenceGrayHalf,..\GeneralStr\Accessory\Fence\FenceGrayHalf.x
FenceGreen,..\GeneralStr\Accessory\Fence\FenceGreen.x
FenceGreenE,..\GeneralStr\Accessory\Fence\FenceGreenE.x
FenceWhite,..\GeneralStr\Accessory\Fence\FenceWhite.x
GradualDiminution_P,..\GeneralStr\Accessory\Posts\CurvePosts\GradualDiminution_P.x
GradualDiminution_Ps,..\GeneralStr\Accessory\Posts\CurvePosts\GradualDiminution_Ps.x
Curve_P,..\GeneralStr\Accessory\Posts\CurvePosts\Curve_P.x
Curve_P_nn,..\GeneralStr\Accessory\Posts\CurvePosts\Curve_P_nn.x
Gp_UD,..\GeneralStr\Accessory\Posts\GradientPost\Gp_UD.x
Gp_UL,..\GeneralStr\Accessory\Posts\GradientPost\Gp_UL.x
Gp_UU,..\GeneralStr\Accessory\Posts\GradientPost\Gp_UU.x
Gp_DD,..\GeneralStr\Accessory\Posts\GradientPost\Gp_DD.x
Gp_DL,..\GeneralStr\Accessory\Posts\GradientPost\Gp_DL.x
Gp_DU,..\GeneralStr\Accessory\Posts\GradientPost\Gp_DU.x
Gp_LD,..\GeneralStr\Accessory\Posts\GradientPost\Gp_LD.x
Gp_LU,..\GeneralStr\Accessory\Posts\GradientPost\Gp_LU.x
R400,..\GeneralStr\Accessory\Posts\JRK\curve\R400.x
R450,..\GeneralStr\Accessory\Posts\JRK\curve\R450.x
R500,..\GeneralStr\Accessory\Posts\JRK\curve\R500.x
R600,..\GeneralStr\Accessory\Posts\JRK\curve\R600.x
R650,..\GeneralStr\Accessory\Posts\JRK\curve\R650.x
R700,..\GeneralStr\Accessory\Posts\JRK\curve\R700.x
R750,..\GeneralStr\Accessory\Posts\JRK\curve\R750.x
R800,..\GeneralStr\Accessory\Posts\JRK\curve\R800.x
R850,..\GeneralStr\Accessory\Posts\JRK\curve\R850.x
R300,..\GeneralStr\Accessory\Posts\JRK\curve\R300.x
R350,..\GeneralStr\Accessory\Posts\JRK\curve\R350.x
Stop_00,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_00.x
Stop_00ex,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_00ex.x
Stop_02,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_02.x
Stop_02k,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_02k.x
Stop_03,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_03.x
Stop_04,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_04.x
Stop_05,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_05.x
Stop_06,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_06.x
Stop_06k,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_06k.x
Stop_07,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_07.x
Stop_08,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_08.x
Stop_08k,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_08k.x
Stop_09,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_09.x
Stop_back,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\Stop_back.x
StopBar,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\StopBar.x
StopBarSide1,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\StopBarSide1.x
StopBarSide2,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\StopBarSide2.x
StopBarUp,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\StopBarUp.x
StopBarUpB,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\StopBarUpB.x
_pipe,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\_pipe.x
_pipe2,..\GeneralStr\Accessory\Posts\JRK\JRK_stop\_pipe2.x
kanko_04,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_04.x
kanko_05,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_05.x
kanko_06,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_06.x
kanko_07,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_07.x
kanko_08,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_08.x
kanko_bo,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_bo.x
kkk,..\GeneralStr\Accessory\Posts\JRK\kanko\kkk.x
kkk2,..\GeneralStr\Accessory\Posts\JRK\kanko\kkk2.x
kanko_00,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_00.x
kanko_01,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_01.x
kanko_02,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_02.x
kanko_03,..\GeneralStr\Accessory\Posts\JRK\kanko\kanko_03.x
sec_kt5,..\GeneralStr\Accessory\Posts\JRK\Section\sec_kt5.x
sec_kt7,..\GeneralStr\Accessory\Posts\JRK\Section\sec_kt7.x
sec_kt9,..\GeneralStr\Accessory\Posts\JRK\Section\sec_kt9.x
sec_kt2,..\GeneralStr\Accessory\Posts\JRK\Section\sec_kt2.x
sec_kt3,..\GeneralStr\Accessory\Posts\JRK\Section\sec_kt3.x
s_p,..\GeneralStr\Accessory\Posts\JRK\s_p.x
sokusho,..\GeneralStr\Accessory\Posts\JRK\sokusho.x
tei_tu,..\GeneralStr\Accessory\Posts\JRK\tei_tu.x
teisya,..\GeneralStr\Accessory\Posts\JRK\teisya.x
eki,..\GeneralStr\Accessory\Posts\JRK\eki.x
kilopost1,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost1.x
kilopost1e,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost1e.x
kilopost1e_d,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost1e_d.x
kilopost2,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost2.x
kilopost2e,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost2e.x
kilopost2e_d,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost2e_d.x
kilopost3ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost3ky.x
kilopost3ky_d,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost3ky_d.x
kilopost3sk,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost3sk.x
kilopost3sk_d,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost3sk_d.x
kilopost31ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost31ky.x
kilopost32ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost32ky.x
kilopost33ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost33ky.x
kilopost34ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost34ky.x
kilopost36ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost36ky.x
kilopost37ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost37ky.x
kilopost38ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost38ky.x
kilopost39ky,..\GeneralStr\Accessory\Posts\KiloPosts\kilopost39ky.x
Pole01R,..\GeneralStr\Accessory\Posts\Pole\Pole01R.x
SpeedLimPole_B,..\GeneralStr\Accessory\Posts\Pole\SpeedLimPole_B.x
SpeedLimPole_W,..\GeneralStr\Accessory\Posts\Pole\SpeedLimPole_W.x
Pole01L,..\GeneralStr\Accessory\Posts\Pole\Pole01L.x
sectC,..\GeneralStr\Accessory\Posts\Section\sectC.x
sectS,..\GeneralStr\Accessory\Posts\Section\sectS.x
Pole_sec,..\GeneralStr\Accessory\Posts\Section\Pole_sec.x
sectA,..\GeneralStr\Accessory\Posts\Section\sectA.x
sectB,..\GeneralStr\Accessory\Posts\Section\sectB.x
hs_sta,..\GeneralStr\Accessory\Posts\Signal\hs_sta.x
kurukuru,..\GeneralStr\Accessory\Posts\Signal\kurukuru.x
kurukuru_rev,..\GeneralStr\Accessory\Posts\Signal\kurukuru_rev.x
Relay_rev,..\GeneralStr\Accessory\Posts\Signal\Relay_rev.x
SigBox,..\GeneralStr\Accessory\Posts\Signal\SigBox.x
Signal_rev3,..\GeneralStr\Accessory\Posts\Signal\Signal_rev3.x
Signal_rev5,..\GeneralStr\Accessory\Posts\Signal\Signal_rev5.x
SigPole2,..\GeneralStr\Accessory\Posts\Signal\SigPole2.x
SigPole3,..\GeneralStr\Accessory\Posts\Signal\SigPole3.x
SigPole4,..\GeneralStr\Accessory\Posts\Signal\SigPole4.x
hs_01,..\GeneralStr\Accessory\Posts\Signal\hs_01.x
hs_02,..\GeneralStr\Accessory\Posts\Signal\hs_02.x
hs_03,..\GeneralStr\Accessory\Posts\Signal\hs_03.x
hs_04,..\GeneralStr\Accessory\Posts\Signal\hs_04.x
hs_05,..\GeneralStr\Accessory\Posts\Signal\hs_05.x
hs_06,..\GeneralStr\Accessory\Posts\Signal\hs_06.x
rinjiSignal_3,..\GeneralStr\Accessory\Posts\t_Signal\rinjiSignal_3.x
rinjiSignal_ed8,..\GeneralStr\Accessory\Posts\t_Signal\rinjiSignal_ed8.x
rinjiSignal_1a,..\GeneralStr\Accessory\Posts\t_Signal\rinjiSignal_1a.x
rinjiSignal_2,..\GeneralStr\Accessory\Posts\t_Signal\rinjiSignal_2.x
t_kilopost2,..\GeneralStr\Accessory\Posts\Tunnel\t_kilopost2.x
t_pitchD,..\GeneralStr\Accessory\Posts\Tunnel\t_pitchD.x
t_pitchL,..\GeneralStr\Accessory\Posts\Tunnel\t_pitchL.x
